name,biocyc_id
purA,EG10790
guaB,EG10421
purD,EG10792
purH,EG10795
purC,EG10791
purF,EG10794
purL,EG10797
dgcM,G6673
cmk,EG11265
ydcI,G6737
lipA,EG11306
nlpD,EG12111
galU,EG11319
pgm,EG12144
lpd,EG10543
waaF,EG12210
nhaA,EG10652
rpoS,EG10510
cyaA,EG10170
thyA,EG11002
lon,EG10542
pepT,EG11549
pal,EG10684
ubiG,EG11143
ubiE,EG11473
crp,EG10164
yieP,EG11733
ubiH,EG11324
mlrA,EG12008
php,G7731
atpA,EG10098
appC,EG11380
ihfB,EG10441
ihfA,EG10440
glnA,EG10383
