,name,biocyc_id
0,ddpX,G6782
1,ddpA,G6781
2,astC,G6944
3,ddpB,G6780
4,astA,G6943
5,ddpD,G6778
6,ddpC,G6779
7,astD,G6942
8,ddpF,G6777
9,astB,G6941
10,astE,G6940
11,amtB,EG11821
12,patA,G7596
13,cbl,G7071
14,ynfM,G6854
15,chaC,EG12403
16,glnK,EG12191
17,cycA,EG12504
