name,biocyc_id
d-glucose-6-phosphate,ALPHA-GLC-6-P
d-fructose-6-phosphate,FRUCTOSE-6P
d-ribose-5-phosphate,RIBOSE-5P
d-erythrose-4-phosphate,ERYTHROSE-4P
d-glyceraldehyde-3-phosphate,GAP
glycerate-3-phosphate,G3P
phosphoenolpyruvate,PHOSPHO-ENOL-PYRUVATE
pyruvate,PYRUVATE
acetyl-CoA,ACETYL-COA
2-ketoglutarate,2-KETOGLUTARATE
succinyl-CoA,SUC-COA
oxaloacetate,OXALACETIC_ACID
