synonym	entrez
FOXS1	2307
ART4	420
ART4	28987
LIF	3976
SELE	6401
MDGA1	266727
TLR2	7097
IFIT2	3433
RYR3	6263
TRAF1	7185
TSPAN2	10100
TNIP3	79931
NPAS1	4861
IRAK2	3656
SNAI2	6591
IL1A	3552
E2F7	144455
BMF	90427
DCLK2	166614
FRMD6	122786
RP11-497H16.5	11042
TRAC	28755
