displayName,synonyms,compartment,stID
"""CO2 [cytoplasm]""","[""CO2"", ""phys-ent-participant87101"", ""carbon dioxide"", ""phys-ent-participant14918"", ""phys-ent-participant95764"", ""phys-ent-participant75239"", ""phys-ent-participant33669"", ""phys-ent-participant14926"", ""phys-ent-participant86776"", ""phys-ent-participant86940"", ""phys-ent-participant81195"", ""phys-ent-participant87047"", ""phys-ent-participant87148"", ""phys-ent-participant86718"", ""phys-ent-participant87125"", ""phys-ent-participant76128"", ""phys-ent-participant96571"", ""phys-ent-participant75266"", ""phys-ent-participant95816"", ""phys-ent-participant87279"", ""phys-ent-participant87306"", ""phys-ent-participant14515"", ""phys-ent-participant14887"", ""phys-ent-participant87395"", ""phys-ent-participant14392"", ""phys-ent-participant75228"", ""phys-ent-participant6017"", ""phys-ent-participant95787"", ""phys-ent-participant12456"", ""phys-ent-participant90823"", ""phys-ent-participant14330"", ""phys-ent-participant86957"", ""phys-ent-participant86850"", ""phys-ent-participant100739"", ""phys-ent-participant95717"", ""phys-ent-participant13918"", ""phys-ent-participant86736"", ""phys-ent-participant87031"", ""phys-ent-participant96927"", ""phys-ent-participant87191"", ""phys-ent-participant14719"", ""phys-ent-participant10248"", ""phys-ent-participant94272"", ""phys-ent-participant13998"", ""phys-ent-participant78382"", ""phys-ent-participant86626"", ""phys-ent-participant76020"", ""phys-ent-participant87020"", ""phys-ent-participant75175"", ""phys-ent-participant14124"", ""phys-ent-participant14909"", ""phys-ent-participant14571"", ""phys-ent-participant75158"", ""phys-ent-participant14974"", ""phys-ent-participant62490"", ""phys-ent-participant97995"", ""phys-ent-participant32860"", ""phys-ent-participant75202"", ""phys-ent-participant97187"", ""phys-ent-participant14506"", ""phys-ent-participant14033"", ""phys-ent-participant95796"", ""phys-ent-participant86911"", ""phys-ent-participant6487"", ""phys-ent-participant14797"", ""phys-ent-participant14848"", ""phys-ent-participant75416"", ""phys-ent-participant80553"", ""phys-ent-participant87139"", ""phys-ent-participant92556"", ""phys-ent-participant14403"", ""phys-ent-participant13841"", ""phys-ent-participant14955"", ""phys-ent-participant97204"", ""phys-ent-participant87369"", ""phys-ent-participant86900"", ""phys-ent-participant98102"", ""phys-ent-participant86783"", ""phys-ent-participant32878"", ""phys-ent-participant95099"", ""phys-ent-participant100708"", ""phys-ent-participant87347"", ""phys-ent-participant86923"", ""phys-ent-participant98160"", ""phys-ent-participant14746"", ""phys-ent-participant14645"", ""phys-ent-participant86666"", ""phys-ent-participant86975"", ""phys-ent-participant96001"", ""phys-ent-participant96989"", ""phys-ent-participant90806"", ""phys-ent-participant76223"", ""phys-ent-participant86883"", ""phys-ent-participant86861"", ""phys-ent-participant98759"", ""phys-ent-participant90775"", ""phys-ent-participant96586"", ""phys-ent-participant95874"", ""phys-ent-participant87116"", ""phys-ent-participant77865"", ""phys-ent-participant14660"", ""phys-ent-participant75085"", ""phys-ent-participant87228"", ""phys-ent-participant14061"", ""phys-ent-participant87055"", ""phys-ent-participant13937"", ""phys-ent-participant75350"", ""phys-ent-participant83323"", ""phys-ent-participant85107"", ""phys-ent-participant97083"", ""phys-ent-participant14630"", ""phys-ent-participant98052"", ""phys-ent-participant86755"", ""phys-ent-participant13871"", ""phys-ent-participant82347"", ""phys-ent-participant97210"", ""phys-ent-participant93239"", ""phys-ent-participant92976"", ""phys-ent-participant62847"", ""phys-ent-participant14539"", ""phys-ent-participant87001"", ""phys-ent-participant87176"", ""phys-ent-participant82659"", ""phys-ent-participant93198"", ""phys-ent-participant87039"", ""phys-ent-participant14375"", ""phys-ent-participant86993"", ""phys-ent-participant86645"", ""phys-ent-participant97605"", ""phys-ent-participant14612"", ""phys-ent-participant75710"", ""phys-ent-participant97393"", ""phys-ent-participant87009"", ""phys-ent-participant86203"", ""phys-ent-participant33711"", ""phys-ent-participant33530"", ""phys-ent-participant14962"", ""phys-ent-participant97078"", ""phys-ent-participant97195"", ""phys-ent-participant86833"", ""phys-ent-participant14435"", ""phys-ent-participant11975"", ""phys-ent-participant57836"", ""phys-ent-participant14107"", ""phys-ent-participant76087"", ""phys-ent-participant82981"", ""phys-ent-participant92656"", ""phys-ent-participant94412"", ""phys-ent-participant75029"", ""phys-ent-participant87185"", ""phys-ent-participant87740"", ""phys-ent-participant97954"", ""phys-ent-participant90791"", ""phys-ent-participant86801"", ""phys-ent-participant83587"", ""phys-ent-participant14730"", ""phys-ent-participant83565"", ""phys-ent-participant6480"", ""phys-ent-participant14763"", ""phys-ent-participant14991"", ""phys-ent-participant87294"", ""phys-ent-participant92998"", ""phys-ent-participant14147"", ""phys-ent-participant100704"", ""phys-ent-participant83581"", ""phys-ent-participant86872"", ""phys-ent-participant96847"", ""phys-ent-participant86815"", ""phys-ent-participant75189"", ""phys-ent-participant75254"", ""phys-ent-participant87218"", ""phys-ent-participant87083"", ""phys-ent-participant33107"", ""phys-ent-participant97155"", ""phys-ent-participant14555"", ""phys-ent-participant97424"", ""phys-ent-participant14151"", ""phys-ent-participant75212"", ""phys-ent-participant86891"", ""phys-ent-participant95041""]","[""cytoplasm""]","""R-ALL-1132345"""
"""CO2 [cytosol]""","[""CO2"", ""carbon dioxide""]","[""cytosol""]","""R-ALL-113528"""
"""CO2 [endoplasmic reticulum lumen]""","[""CO2"", ""carbon dioxide""]","[""endoplasmic reticulum lumen""]","""R-ALL-159751"""
"""CO2 [extracellular region]""","[""CO2"", ""carbon dioxide""]","[""extracellular region""]","""R-ALL-1237009"""
"""CO2 [melanosome lumen]""","[""CO2"", ""carbon dioxide""]","[""melanosome lumen""]","""R-ALL-5668565"""
"""CO2 [mitochondrial intermembrane space]""","[""CO2"", ""carbon dioxide""]","[""mitochondrial intermembrane space""]","""R-ALL-189480"""
"""CO2 [mitochondrial matrix]""","[""CO2"", ""carbon dioxide""]","[""mitochondrial matrix""]","""R-ALL-29376"""
"""CO2 [nucleoplasm]""","[""CO2"", ""carbon dioxide""]","[""nucleoplasm""]","""R-ALL-159942"""
"""CO2 [peroxisomal matrix]""","[""CO2"", ""carbon dioxide""]","[""peroxisomal matrix""]","""R-ALL-389536"""
"""Ca2+ [Golgi lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""Golgi lumen""]","""R-ALL-167012"""
