gene_name,biocyc_id,fold_change,fold_change_abs,log2(fold_change_abs),comment
yibV,G0-10605,-3.677162342,3.677162342,1.878592871,
ychN,EG12404,-3.675746015,3.675746015,1.878037083,
yafU,G6102,-3.653470641,3.653470641,1.869267614,
yghQ,G7549,-3.560272174,3.560272174,1.831987536,
napD,EG12143,-3.512704304,3.512704304,1.812582137,
ydfZ,G6815,-3.407657904,3.407657904,1.76878051,
hyaE,EG10472,-3.390233671,3.390233671,1.761384714,
fliL,EG10322,-3.363320674,3.363320674,1.749886338,
ddpD,G6778,-3.296402449,3.296402449,1.720892388,
yhfG,EG12374,-3.271325488,3.271325488,1.709875311,
leuA,EG11226,-3.271185778,3.271185778,1.709813696,
ygbA,EG11287,-3.270461781,3.270461781,1.709494355,
astE,G6940,-3.221493553,3.221493553,1.687729708,
fliK,G379,-3.192406627,3.192406627,1.674644424,
paaE,G6713,-3.187203321,3.187203321,1.672291056,
hycH,EG10481,-3.180750333,3.180750333,1.669367135,
yfaH,EG12881,-3.172769436,3.172769436,1.665742685,
yqhH,G7567,-3.168527625,3.168527625,1.663812594,
yecR,G7035,-3.158096025,3.158096025,1.659055039,
proP,EG11612,-3.156679529,3.156679529,1.658407804,
yjdN,EG10712,-3.122904175,3.122904175,1.642888302,
yghX,G7557,-3.068097057,3.068097057,1.617344122,
yahO,G6194,-3.047525536,3.047525536,1.60763831,
xisD,G0-16717,-3.025960691,3.025960691,1.597393246,
caiE,EG12608,-3.016091495,3.016091495,1.592680195,
ilvM,EG10501,-3.011157711,3.011157711,1.590318272,
yfcP,G7204,-3.002273786,3.002273786,1.586055547,
aldB,EG12292,-2.999617399,2.999617399,1.584778497,
fliI,G377,-2.995849994,2.995849994,1.582965388,
csiR,EG12386,-2.987222169,2.987222169,1.57880454,"synonyms: glaR, ygaE, gabC; biocyc_id manually curated"
ybaM,EG12830,-2.972269307,2.972269307,1.571564839,
astB,G6941,-2.96617651,2.96617651,1.568604451,
eutM,G7287,-2.953063024,2.953063024,1.562212147,
rzpD,G6311,-2.947027157,2.947027157,1.559260355,
rutB,G6522,-2.947027157,2.947027157,1.559260355,
flhA,G370,-2.937106328,2.937106328,1.554395495,
yggM,EG12704,-2.930541813,2.930541813,1.551167422,
pinQ,G6819,-2.929866576,2.929866576,1.550834967,
yjcH,EG11943,-2.926591304,2.926591304,1.549221289,
ybaA,EG11099,-2.926188451,2.926188451,1.549022684,
gabT,EG10361,-2.897534697,2.897534697,1.534825937,
flgJ,G366,-2.888076399,2.888076399,1.530108907,
yfdT,G7232,-2.87774644,2.87774644,1.524939481,
thiD,G7135,-2.86220155,2.86220155,1.517125267,
ddpF,G6777,-2.850381866,2.850381866,1.51115521,
stfP,EG12877,-2.83535141,2.83535141,1.503527552,synonym: ycfK; biocyc_id manually curated
ybgS,G6394,-2.780629789,2.780629789,1.475411678,
psiE,EG11209,-2.772825101,2.772825101,1.471356619,
yeaQ,G6981,-2.760430451,2.760430451,1.464893253,
ygjH,G7597,-2.756263209,2.756263209,1.462713665,
hyi,G6277,-2.736537736,2.736537736,1.452351751,
sgrT,G0-10617,-2.736221787,2.736221787,1.452185174,
ycaR,G6472,-2.733851415,2.733851415,1.450934834,
sra,EG11508,-2.710537516,2.710537516,1.438578975,
ygaM,G7400,-2.699669379,2.699669379,1.432782735,
ggt,EG10374,-2.648476941,2.648476941,1.405162948,
fruA,EG10336,-2.644168816,2.644168816,1.402814288,
osmE,EG10044,-2.618849371,2.618849371,1.388933083,
ecnB,G0-9562,-2.613643914,2.613643914,1.3860626,
mscS,EG11160,-2.582985297,2.582985297,1.369039431,
patA,G7596,-2.556880277,2.556880277,1.35438461,
puuD,G6645,-2.534002851,2.534002851,1.341418148,
yccT,G6498,-2.529193913,2.529193913,1.338677653,
bssR,G6436,-2.524631738,2.524631738,1.33607296,
yccJ,EG12703,-2.524353988,2.524353988,1.335914232,
ycgB,EG11516,-2.487991589,2.487991589,1.314981609,
yoaH,G6995,-2.487570965,2.487570965,1.314737683,
paaY,G6721,-2.484539673,2.484539673,1.312978579,
ytfJ,G7871,-2.467337906,2.467337906,1.302955309,
ugpC,EG11048,-2.450635766,2.450635766,1.293156075,
fliR,EG11977,-2.403642891,2.403642891,1.265222571,
araH,EG10059,-2.397826604,2.397826604,1.261727335,
phnO,EG10724,-2.39678132,2.39678132,1.261098285,
elaB,G7173,-2.391933713,2.391933713,1.258177409,
ydcT,G6752,-2.388688274,2.388688274,1.256218593,
osmC,EG10680,-2.388526549,2.388526549,1.256120913,
yidK,EG11706,-2.384035601,2.384035601,1.25340578,
ycgY,G6625,-2.364722303,2.364722303,1.241670773,
ybcJ,EG12879,-2.360427749,2.360427749,1.239048323,
lsrR,G6799,-2.357475379,2.357475379,1.237242703,
yjiH,G7927,-2.355961385,2.355961385,1.236315893,
fucK,EG10350,-2.316391017,2.316391017,1.211878807,
gadA,EG50009,-2.312937901,2.312937901,1.209726533,
ycaN,G6467,-2.311363165,2.311363165,1.208743956,
yjdM,EG10711,-2.305818075,2.305818075,1.205278692,
glxK,G6283,-2.28351793,2.28351793,1.191258118,
gnsA,G0-9662,-2.235049371,2.235049371,1.1603067,
ydcK,G6741,-2.198549806,2.198549806,1.136552216,
ybdK,G6326,-2.19547522,2.19547522,1.134533251,
katE,EG10509,-2.186178857,2.186178857,1.128411437,
ygaU,G7395,-2.182718734,2.182718734,1.126126236,"synonyms: kbp, yzzM; biocyc_id manually curated"
tynA,EG13139,-2.177551283,2.177551283,1.122706696,
yeaH,G6970,-2.177523522,2.177523522,1.122688303,
gcd,EG10369,-2.166420188,2.166420188,1.115313088,
dmsC,EG10234,-2.151736684,2.151736684,1.105501541,
arsR,EG12235,-2.147411669,2.147411669,1.102598789,
betT,EG10112,-2.13989303,2.13989303,1.09753868,
yfcG,G7194,-2.128798938,2.128798938,1.090039696,
sgbH,EG12285,-2.121480491,2.121480491,1.085071411,
yqjE,G7613,-2.107920276,2.107920276,1.075820304,
ybcV,G6313,-2.094314534,2.094314534,1.066478129,
citG,G6339,-2.023352158,2.023352158,1.016747438,
